,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Albany Park,Cocktail Bar,Fried Chicken Joint,Bakery,Grocery Store,Korean Restaurant,Sandwich Place,Karaoke Bar,Chinese Restaurant,Bus Station,Donut Shop
1,Aldine,Food Truck,Convenience Store,Fast Food Restaurant,Event Service,Event Space,Exhibit,Fabric Shop,Farm,Farmers Market,Filipino Restaurant
2,Alief,Construction & Landscaping,Yoga Studio,Fast Food Restaurant,Event Service,Event Space,Exhibit,Fabric Shop,Farm,Farmers Market,Filipino Restaurant
3,Alvin,American Restaurant,Mexican Restaurant,Bank,Seafood Restaurant,Italian Restaurant,BBQ Joint,Sushi Restaurant,Bowling Alley,Food & Drink Shop,Flower Shop
4,Ballpark District,Bar,Baseball Stadium,Soccer Stadium,Sports Bar,Italian Restaurant,Coffee Shop,BBQ Joint,Music Venue,Gym,Light Rail Station
5,Baytown,Fast Food Restaurant,Taco Place,Gym,Health & Beauty Service,American Restaurant,Bakery,Flower Shop,Flea Market,Filipino Restaurant,Ethiopian Restaurant
6,Bellaire,Boat or Ferry,Business Service,Pharmacy,Yoga Studio,Farm,Event Service,Event Space,Exhibit,Fabric Shop,Farmers Market
7,Braeburn,Athletics & Sports,Restaurant,Mexican Restaurant,Soccer Field,Yoga Studio,Farm,Event Service,Event Space,Exhibit,Fabric Shop
8,Champions,Gaming Cafe,Yoga Studio,Empanada Restaurant,Food Court,Food & Drink Shop,Flower Shop,Flea Market,Filipino Restaurant,Fast Food Restaurant,Farmers Market
9,Chinatown,Chinese Restaurant,Vietnamese Restaurant,Bubble Tea Shop,Bakery,Dessert Shop,Sushi Restaurant,Asian Restaurant,Supermarket,Vegetarian / Vegan Restaurant,Noodle House
10,Civic Center District,Theater,Hotel,Burger Joint,Park,Italian Restaurant,Coffee Shop,Sandwich Place,Performing Arts Venue,Thai Restaurant,Concert Hall
11,Clear Lake,Boutique,Insurance Office,Spa,Salon / Barbershop,Yoga Studio,Farm,Ethiopian Restaurant,Event Service,Event Space,Exhibit
12,Conroe,Theater,Pub,Thrift / Vintage Store,Bakery,Bank,Bar,Event Space,Coffee Shop,Discount Store,Farm
13,Convention District,Hotel,Bar,Italian Restaurant,Baseball Stadium,Mexican Restaurant,Sports Bar,Music Venue,Clothing Store,New American Restaurant,Light Rail Station
14,Crosby,Business Service,Music Venue,Home Service,Yoga Studio,Farm,Event Service,Event Space,Exhibit,Fabric Shop,Fast Food Restaurant
15,Cypress,Furniture / Home Store,Pizza Place,Sandwich Place,Hardware Store,Burger Joint,Mexican Restaurant,Supplement Shop,Supermarket,Big Box Store,Pet Store
16,Cypress Fairbanks,IT Services,Empanada Restaurant,Food Service,Food Court,Food & Drink Shop,Flower Shop,Flea Market,Filipino Restaurant,Fast Food Restaurant,Farmers Market
17,Deer Park,Clothing Store,Restaurant,Furniture / Home Store,Bank,Bakery,Coffee Shop,Athletics & Sports,Convenience Store,Boutique,Italian Restaurant
18,EaDo,Mexican Restaurant,Art Gallery,Fast Food Restaurant,Burger Joint,Fried Chicken Joint,Bus Station,Music Venue,Bank,Seafood Restaurant,Chinese Restaurant
19,Edgewater,Mexican Restaurant,Bank,Sushi Restaurant,Gym / Fitness Center,Asian Restaurant,Sandwich Place,Video Store,Bus Station,Restaurant,Mobile Phone Shop
20,Edison Park,Bar,Italian Restaurant,Bakery,American Restaurant,Theater,Mexican Restaurant,Spa,Liquor Store,French Restaurant,Pizza Place
21,Fifth Ward,Park,Yoga Studio,Food Court,Food & Drink Shop,Flower Shop,Flea Market,Filipino Restaurant,Fast Food Restaurant,Farmers Market,Farm
22,Forest Glen,Moving Target,Pharmacy,Indian Restaurant,Grocery Store,Fast Food Restaurant,Asian Restaurant,Golf Course,Coffee Shop,Ethiopian Restaurant,Event Service
23,Friendswood,Ice Cream Shop,Flower Shop,Wine Bar,Rental Car Location,French Restaurant,Dessert Shop,Steakhouse,Discount Store,Coffee Shop,Breakfast Spot
24,Fulshear,Pizza Place,Mexican Restaurant,BBQ Joint,Salon / Barbershop,Candy Store,Gas Station,Café,Sandwich Place,Seafood Restaurant,Convenience Store
25,Galena Park,Mexican Restaurant,Business Service,Home Service,American Restaurant,Yoga Studio,Farmers Market,Event Space,Exhibit,Fabric Shop,Farm
26,Garden Oaks,Discount Store,Intersection,Convenience Store,Yoga Studio,Event Service,Event Space,Exhibit,Fabric Shop,Farm,Farmers Market
27,Heights,Gym,Medical Supply Store,Convenience Store,Video Store,Pizza Place,Café,Fast Food Restaurant,Farmers Market,Filipino Restaurant,Empanada Restaurant
28,Historic District,Convenience Store,Fried Chicken Joint,Hotel,Wings Joint,Dentist's Office,Mexican Restaurant,Pizza Place,Discount Store,Chinese Restaurant,Fast Food Restaurant
29,Humble,Mexican Restaurant,Discount Store,Chinese Restaurant,Vietnamese Restaurant,Pharmacy,Cocktail Bar,French Restaurant,Beer Garden,Automotive Shop,Pub
30,Irving Park,Coffee Shop,Bar,Pizza Place,Sandwich Place,Gym,Auto Dealership,Tapas Restaurant,Bus Line,Donut Shop,Chinese Restaurant
31,Jefferson Park,Bar,Eastern European Restaurant,Pharmacy,Ice Cream Shop,Coffee Shop,Video Store,Chinese Restaurant,Filipino Restaurant,Donut Shop,Bakery
32,Jersey Village,Park,Food & Drink Shop,Other Repair Shop,Empanada Restaurant,Food Court,Flower Shop,Flea Market,Filipino Restaurant,Fast Food Restaurant,Farmers Market
33,Katy,Mexican Restaurant,American Restaurant,Fast Food Restaurant,BBQ Joint,Park,Motorsports Shop,Thrift / Vintage Store,Pizza Place,Pharmacy,Bank
34,Kemah,Bar,Burger Joint,Mexican Restaurant,Furniture / Home Store,Taco Place,Sandwich Place,Café,Restaurant,Tea Room,Tex-Mex Restaurant
35,Kingwood,Pizza Place,Sandwich Place,Burger Joint,Fast Food Restaurant,Chinese Restaurant,Pharmacy,Shipping Store,Coffee Shop,Fried Chicken Joint,Bank
36,La Marque,Discount Store,Seafood Restaurant,Yoga Studio,Event Service,Event Space,Exhibit,Fabric Shop,Farm,Farmers Market,Empanada Restaurant
37,La Porte,Mexican Restaurant,Home Service,American Restaurant,BBQ Joint,Yoga Studio,Farmers Market,Event Service,Event Space,Exhibit,Fabric Shop
38,Lake Houston,Business Service,Event Service,Yoga Studio,Ethiopian Restaurant,Food Service,Food Court,Food & Drink Shop,Flower Shop,Flea Market,Filipino Restaurant
39,Lake View,Bar,Sports Bar,Pizza Place,General Entertainment,Baseball Stadium,Sandwich Place,Dive Bar,Thai Restaurant,Mexican Restaurant,Rock Club
40,Lakeview,Gay Bar,Sandwich Place,Mexican Restaurant,General Entertainment,Pizza Place,Sports Bar,Japanese Restaurant,Pub,Restaurant,Sushi Restaurant
41,League City,Mexican Restaurant,Burger Joint,Music Store,Park,Taco Place,Coffee Shop,Discount Store,Business Service,Video Store,Thrift / Vintage Store
42,Lincoln Park,Harbor / Marina,Boat or Ferry,Juice Bar,Playground,Lake,Comedy Club,Dog Run,Farmers Market,Event Space,Exhibit
43,Lincoln Square,Bar,Café,Pizza Place,Bus Station,Convenience Store,Korean Restaurant,Sandwich Place,Coffee Shop,Eastern European Restaurant,Gas Station
44,Medical Center,Rental Car Location,Deli / Bodega,Indian Restaurant,Pizza Place,Caribbean Restaurant,Coffee Shop,Gym / Fitness Center,Liquor Store,Convenience Store,Spa
45,Medical District,Coffee Shop,Hotel,Sandwich Place,Food Service,American Restaurant,Burger Joint,ATM,BBQ Joint,Pizza Place,Pharmacy
46,Memorial Park,Food Truck,Gym / Fitness Center,Burger Joint,Smoothie Shop,Tennis Court,Baseball Field,Golf Driving Range,Park,Golf Course,Dive Bar
47,Midtown,Vietnamese Restaurant,Beer Garden,Dance Studio,Record Shop,Boutique,French Restaurant,Beer Bar,Sushi Restaurant,Taco Place,Music Venue
48,Missouri City,Electronics Store,Farm,Empanada Restaurant,Food Service,Food Court,Food & Drink Shop,Flower Shop,Flea Market,Filipino Restaurant,Fast Food Restaurant
49,Museum District,Science Museum,Trail,Garden,Sculpture Garden,Planetarium,Botanical Garden,Mexican Restaurant,Movie Theater,Food Truck,Sushi Restaurant
50,Nassau Bay,Discount Store,Hotel,Park,Theater,Southern / Soul Food Restaurant,Yoga Studio,Event Service,Event Space,Exhibit,Fabric Shop
51,North Center,Bar,Coffee Shop,Bank,Brewery,Mobile Phone Shop,Spa,Video Store,Dance Studio,Dive Bar,Restaurant
52,North Houston District,Football Stadium,Convenience Store,Pawn Shop,Discount Store,Diner,Bakery,Mexican Restaurant,Fried Chicken Joint,Food & Drink Shop,Event Space
53,North Park,Park,Playground,Baseball Field,Scenic Lookout,Gymnastics Gym,Nature Preserve,Fast Food Restaurant,Farmers Market,Farm,Electronics Store
54,Northside,Discount Store,Adult Boutique,Shoe Repair,Yoga Studio,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Fabric Shop,Farm
55,Pearland,BBQ Joint,Fast Food Restaurant,Cajun / Creole Restaurant,Thrift / Vintage Store,Ice Cream Shop,Mexican Restaurant,Diner,Burger Joint,Park,Coffee Shop
56,Richmond,Plaza,Juice Bar,Food Truck,Bar,Café,Business Service,American Restaurant,History Museum,Train Station,Coffee Shop
57,River Oaks,Public Art,Bakery,Historic Site,Food & Drink Shop,Flower Shop,Flea Market,Filipino Restaurant,Fast Food Restaurant,Empanada Restaurant,Farmers Market
58,Rogers Park,Mexican Restaurant,Train Station,Pizza Place,American Restaurant,Chinese Restaurant,Bakery,Grocery Store,Theater,Farmers Market,Sushi Restaurant
59,Rosenberg,Mexican Restaurant,Astrologer,Diner,Construction & Landscaping,Noodle House,Café,Fast Food Restaurant,Burger Joint,Museum,Fried Chicken Joint
60,Shopping District,Hotel,Sandwich Place,New American Restaurant,Steakhouse,Burger Joint,Mexican Restaurant,Coffee Shop,Hotel Bar,Lounge,Shopping Mall
61,Skyline District,Burger Joint,Bar,Hotel,Cocktail Bar,Mexican Restaurant,Coffee Shop,Park,Taco Place,Southern / Soul Food Restaurant,New American Restaurant
62,South Main,Park,Pet Service,Farm,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Fabric Shop,Farmers Market,Electronics Store
63,Spring,BBQ Joint,American Restaurant,Gift Shop,Café,Gourmet Shop,Music Venue,Home Service,Hobby Shop,Miscellaneous Shop,Italian Restaurant
64,Sugar Land,Burger Joint,Sandwich Place,Mexican Restaurant,Electronics Store,Bakery,Hotel,Italian Restaurant,Asian Restaurant,Pizza Place,American Restaurant
65,The Woodlands,Road,Dog Run,Yoga Studio,Farmers Market,Event Service,Event Space,Exhibit,Fabric Shop,Farm,Fast Food Restaurant
66,Theater District,Bar,Park,Theater,Burger Joint,Coffee Shop,New American Restaurant,Concert Hall,Mexican Restaurant,Cocktail Bar,Lounge
67,Third Ward,Airport Service,Yoga Studio,Fast Food Restaurant,Event Service,Event Space,Exhibit,Fabric Shop,Farm,Farmers Market,Filipino Restaurant
68,Tomball,Mexican Restaurant,Antique Shop,Coffee Shop,Art Gallery,Plaza,Music Venue,Farmers Market,Tea Room,Chocolate Shop,Bakery
69,Upper Kirby,Coffee Shop,Seafood Restaurant,Gym / Fitness Center,Video Game Store,Chinese Restaurant,Noodle House,Basketball Stadium,Clothing Store,Nightclub,Gym
70,Uptown,Clothing Store,Coffee Shop,Hotel,Department Store,Mexican Restaurant,Sandwich Place,Pizza Place,Sushi Restaurant,Women's Store,American Restaurant
71,Warehouse District,Art Gallery,Music Venue,Mexican Restaurant,Café,Smoothie Shop,Park,Sandwich Place,Coffee Shop,Performing Arts Venue,Restaurant
72,Webster,Mexican Restaurant,Pharmacy,Thai Restaurant,Nightclub,Gastropub,Grocery Store,Cocktail Bar,Burger Joint,BBQ Joint,Beer Garden
73,West Ridge,Locksmith,Convenience Store,Wine Bar,Fried Chicken Joint,Music Store,Yoga Studio,Farmers Market,Event Space,Exhibit,Fabric Shop
74,West University,Italian Restaurant,Spa,Boutique,American Restaurant,Mediterranean Restaurant,Dessert Shop,Jewelry Store,Burger Joint,Ice Cream Shop,Food Truck
75,Westchase,Video Store,Food Truck,Flower Shop,Clothing Store,Pharmacy,Yoga Studio,Event Service,Event Space,Exhibit,Fabric Shop
